timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1587492294882,-0.5114863586425782,1.7952168273925782,9.409882049560547,0.05737277277662747
1587492294919,-0.7325765991210937,1.668131103515625,9.692943420410156,0.08129054349848505
1587492294984,-0.6589297485351563,1.620230712890625,9.669292602539063,0.022068227223675504
1587492295051,-0.6746470642089845,1.6946260070800783,9.609566802978517,0.01892482716341478
1587492295119,-0.4858895874023438,1.5878979492187502,9.741741943359376,0.06002521127788051
1587492295188,-0.46493316650390626,1.310973815917969,9.86224136352539,0.08109005609214986
1587492295252,-0.5498066711425782,1.3343252563476564,9.711953887939453,0.04433089121590053
1587492295319,-0.5469625854492188,1.4313235473632813,9.566905517578126,0.05501312743104273
1587492295388,-0.6271957397460938,1.5754737854003906,9.569300537109376,0.04187766137142446
1587492295451,-0.5860313415527344,1.5792160034179688,9.680369567871095,0.026216016411058442
1587492295519,-0.5581892395019532,1.5786172485351564,9.667646026611328,0.008836173215763278
1587492295585,-0.6363267517089845,1.5188914489746095,9.748028869628907,0.03091897562215771
1587492295651,-0.6692582702636719,1.4929953002929688,9.58726318359375,0.038531158165383564
1587492295719,-0.6619235229492187,1.4709910583496095,9.576635284423828,0.014008979644863086
1587492295785,-0.5589376831054688,1.5455360412597656,9.712852020263673,0.04699925903693274
1587492295851,-0.4998106384277344,1.6257691955566407,9.632319488525392,0.03396215668687548
1587492295919,-0.32063323974609376,1.7920733642578126,9.683662719726563,0.06936613314353357
1587492295988,-0.36404296875000003,1.8567388916015626,9.529183959960937,0.045931190952510734
1587492296051,-0.36643798828125,1.935026092529297,9.508077850341797,0.03022701590965606
1587492296119,-0.39248382568359375,1.9477496337890625,9.774374084472656,0.06408782279945446
1587492296188,-0.4836442565917969,2.1354592895507816,9.567204895019533,0.06584169292835057
1587492296251,-0.5128335571289063,2.173330535888672,9.374854888916015,0.06569425719596088
1587492296319,-0.5804928588867188,1.9573297119140627,9.668843536376954,0.08084357280470479
1587492296385,-0.4255650329589844,2.115850067138672,9.541907501220704,0.04654925805135523
1587492296452,-0.5230123901367187,2.1547691345214846,9.61450653076172,0.0325816971437817
1587492296519,-0.8077203369140625,2.0778291320800784,9.724378051757814,0.09747967821225338
1587492296588,-0.787811737060547,1.738484802246094,9.910441131591798,0.060784138392317645
1587492296652,-0.8116122436523437,1.8024018859863282,9.545350341796876,0.06755205492745725
1587492296719,-0.6956034851074219,1.6389418029785157,9.668394470214844,0.06139632697143452
1587492296787,-0.6342311096191406,1.4049783325195313,9.677675170898437,0.06682830881937894
1587492296851,-0.810714111328125,1.2695100402832031,9.498348083496094,0.07640844953256855
1587492296919,-0.651295623779297,1.23822509765625,9.792636108398439,0.07625609036462223
1587492296988,-1.0810519409179689,0.9901908874511719,9.819580078125,0.11811418049287302
1587492297051,-1.1960128784179689,0.9725276184082031,9.673783264160157,0.06482991638981464
1587492297119,-1.239422607421875,1.2183164978027345,9.408983917236329,0.09624435216921513
1587492297189,-1.294208679199219,1.317111053466797,9.61121337890625,0.054131837373295195
1587492297251,-1.2976515197753906,1.242715759277344,9.636959838867188,0.01793217670804604
1587492297319,-1.3054353332519533,1.2171189880371094,9.768685913085937,0.037701773141584814
1587492297387,-1.214125213623047,1.4301260375976563,9.523645477294922,0.07622867821765528
1587492297451,-1.2852273559570313,1.4648538208007813,9.588161315917969,0.024915564399401804
1587492297519,-1.2293934631347656,1.5196398925781252,9.528435516357423,0.026120440899015804
1587492297588,-1.2385244750976563,1.6518150329589845,9.652377777099609,0.04672267883437621
1587492297652,-1.1654763793945313,1.679956512451172,9.690847778320313,0.03409579790111382
